wavelength	depth	depth_err
6.035500e-01	2.163374e-02	9.823054e-05
6.036853e-01	2.154285e-02	0.000000e+00
6.048927e-01	2.153616e-02	0.000000e+00
6.061025e-01	2.153010e-02	0.000000e+00
6.073147e-01	2.152446e-02	0.000000e+00
6.079242e-01	2.146726e-02	9.402861e-05
6.085293e-01	2.151934e-02	0.000000e+00
6.097464e-01	2.151449e-02	0.000000e+00
6.109659e-01	2.150954e-02	0.000000e+00
6.121878e-01	2.150514e-02	0.000000e+00
6.123921e-01	2.136605e-02	9.189444e-05
6.134122e-01	2.150102e-02	0.000000e+00
6.146390e-01	2.149703e-02	0.000000e+00
6.158683e-01	2.149306e-02	0.000000e+00
6.169594e-01	2.136311e-02	9.165396e-05
6.171000e-01	2.148947e-02	0.000000e+00
6.183342e-01	2.148579e-02	0.000000e+00
6.185000e-01	2.140545e-02	1.766900e-04
6.195709e-01	2.148224e-02	0.000000e+00
6.208100e-01	2.147896e-02	0.000000e+00
6.216234e-01	2.138635e-02	8.852258e-05
6.220517e-01	2.147566e-02	0.000000e+00
6.232958e-01	2.147249e-02	0.000000e+00
6.245423e-01	2.146966e-02	0.000000e+00
6.257914e-01	2.146701e-02	0.000000e+00
6.263856e-01	2.143098e-02	8.579976e-05
6.270430e-01	2.146446e-02	0.000000e+00
6.282971e-01	2.146089e-02	0.000000e+00
6.295537e-01	2.145763e-02	0.000000e+00
6.308128e-01	2.145470e-02	0.000000e+00
6.312501e-01	2.142808e-02	8.342526e-05
6.320744e-01	2.145256e-02	0.000000e+00
6.333386e-01	2.144971e-02	0.000000e+00
6.346053e-01	2.144668e-02	0.000000e+00
6.358745e-01	2.144404e-02	0.000000e+00
6.362201e-01	2.129813e-02	8.111069e-05
6.371462e-01	2.144156e-02	0.000000e+00
6.375000e-01	2.115955e-02	2.113500e-04
6.384205e-01	2.143947e-02	0.000000e+00
6.396973e-01	2.143704e-02	0.000000e+00
6.409767e-01	2.143413e-02	0.000000e+00
6.412992e-01	2.110754e-02	7.897352e-05
6.422587e-01	2.143190e-02	0.000000e+00
6.435432e-01	2.142999e-02	0.000000e+00
6.448303e-01	2.143042e-02	0.000000e+00
6.461200e-01	2.143417e-02	0.000000e+00
6.464908e-01	2.120057e-02	7.682713e-05
6.474122e-01	2.143146e-02	0.000000e+00
6.487070e-01	2.142606e-02	0.000000e+00
6.500044e-01	2.142106e-02	0.000000e+00
6.513044e-01	2.141988e-02	0.000000e+00
6.517986e-01	2.111270e-02	7.464151e-05
6.525000e-01	2.123032e-02	2.686000e-04
6.526071e-01	2.141911e-02	0.000000e+00
6.539123e-01	2.141277e-02	0.000000e+00
6.552201e-01	2.141344e-02	0.000000e+00
6.565305e-01	2.141169e-02	0.000000e+00
6.572249e-01	2.124362e-02	7.257304e-05
6.578436e-01	2.140936e-02	0.000000e+00
6.591593e-01	2.140624e-02	0.000000e+00
6.604776e-01	2.140281e-02	0.000000e+00
6.617986e-01	2.140026e-02	0.000000e+00
6.627813e-01	2.128413e-02	7.209637e-05
6.631222e-01	2.139888e-02	0.000000e+00
6.644484e-01	2.139517e-02	0.000000e+00
6.657773e-01	2.139237e-02	0.000000e+00
6.671089e-01	2.138891e-02	0.000000e+00
6.684431e-01	2.138667e-02	0.000000e+00
6.684718e-01	2.109518e-02	6.661067e-05
6.697800e-01	2.138387e-02	0.000000e+00
6.700000e-01	2.081739e-02	2.424700e-04
6.711195e-01	2.138074e-02	0.000000e+00
6.724618e-01	2.137826e-02	0.000000e+00
6.738067e-01	2.137560e-02	0.000000e+00
6.742926e-01	2.121515e-02	6.919580e-05
6.751543e-01	2.137355e-02	0.000000e+00
6.765046e-01	2.137150e-02	0.000000e+00
6.778576e-01	2.136972e-02	0.000000e+00
6.792133e-01	2.136759e-02	0.000000e+00
6.802491e-01	2.114579e-02	6.982283e-05
6.805718e-01	2.136573e-02	0.000000e+00
6.819329e-01	2.136430e-02	0.000000e+00
6.832968e-01	2.136236e-02	0.000000e+00
6.846634e-01	2.136098e-02	0.000000e+00
6.860327e-01	2.135913e-02	0.000000e+00
6.863419e-01	2.131424e-02	6.042320e-05
6.874047e-01	2.135852e-02	0.000000e+00
6.887796e-01	2.135797e-02	0.000000e+00
6.901571e-01	2.136286e-02	0.000000e+00
6.915374e-01	2.137541e-02	0.000000e+00
6.925838e-01	2.126620e-02	7.083540e-05
6.929205e-01	2.139953e-02	0.000000e+00
6.943063e-01	2.137623e-02	0.000000e+00
6.950000e-01	2.090694e-02	1.469400e-04
6.956950e-01	2.137130e-02	0.000000e+00
6.970863e-01	2.136175e-02	0.000000e+00
6.984805e-01	2.136280e-02	0.000000e+00
6.989864e-01	2.117013e-02	6.828228e-05
6.998775e-01	2.136504e-02	0.000000e+00
7.012772e-01	2.136913e-02	0.000000e+00
7.026798e-01	2.137126e-02	0.000000e+00
7.040852e-01	2.136348e-02	0.000000e+00
7.054933e-01	2.136339e-02	0.000000e+00
7.055415e-01	2.148886e-02	6.945343e-05
7.069043e-01	2.136773e-02	0.000000e+00
7.083181e-01	2.136141e-02	0.000000e+00
7.097348e-01	2.136680e-02	0.000000e+00
7.111542e-01	2.136495e-02	0.000000e+00
7.122532e-01	2.116458e-02	6.625022e-05
7.125765e-01	2.136943e-02	0.000000e+00
